avg_rating,last_updated,lectures,duration,cost,discount,inst_rating,log_enrollment,log_number_ratings,log_inst_review,log_inst_student,business,design,development,it_software,marketing,office_productivity,personal_development,teaching_academics
4.2,20.0,162.0,1163.0,23.99,90.0,4.2,10.913833131159125,8.754791763700032,9.507031738585551,12.096854699545043,0,1,0,0,0,0,0,0
4.6,18.0,37.0,234.0,16.99,56.0,4.5,10.785993967241678,9.135832319801121,12.413123399611125,13.951623241189813,1,0,0,0,0,0,0,0
4.6,20.0,53.0,314.0,23.99,91.0,4.6,9.962652285704099,8.829665432675236,9.903187507527125,10.926334085429858,0,0,1,0,0,0,0,0
4.6,20.0,51.0,570.0,21.99,88.0,4.6,13.484116207031649,11.186128273789878,11.22854460418483,13.53033467572593,0,0,1,0,0,0,0,0
4.5,20.0,41.0,428.0,19.99,88.0,4.5,9.565914710470881,7.946971357693591,9.386224586806131,10.890423123979614,0,0,0,0,0,1,0,0
4.4,20.0,91.0,314.0,28.99,77.0,4.4,8.1786387885907,6.899723107284872,7.693481640835175,8.912338567117548,1,0,0,0,0,0,0,0
4.6,20.0,93.0,608.0,17.99,90.0,4.6,11.04175315308089,9.325096609274372,11.68468308602737,13.119645687829145,0,0,1,0,0,0,0,0
4.7,20.0,70.0,298.0,16.99,88.0,4.6,7.724888439323074,6.322565239927284,11.221850978115445,13.157720868685383,0,0,0,1,0,0,0,0
4.3,20.0,477.0,3119.0,20.99,87.0,4.5,9.29908358181057,7.630946580890459,12.57247809418188,13.804398042035578,0,0,1,0,0,0,0,0
4.2,20.0,57.0,303.0,16.99,64.0,4.3,7.566828479208331,6.525029657843462,10.165467127635536,12.399515464531243,0,0,0,1,0,0,0,0
4.3,13.0,142.0,646.0,20.99,55.0,4.5,9.550306497851652,7.570443252057374,10.149644258159338,11.639390701009447,0,0,0,0,0,0,1,0
4.5,20.0,75.0,366.0,16.99,89.0,4.4,9.131838143821225,7.156176637480615,9.573941275985648,11.063147902769172,0,0,0,1,0,0,0,0
4.3,19.0,73.0,479.0,17.99,87.0,4.3,6.843749949006225,5.568344503761097,6.54965074223381,7.656810091480378,0,0,0,0,1,0,0,0
4.7,18.0,151.0,203.0,199.99,69.0,4.7,8.909370405197466,7.414572881350589,8.360539381370861,9.710448770900967,0,0,0,0,0,0,1,0
4.5,19.0,257.0,1505.0,20.99,40.0,3.9,7.275864600546533,5.288267030694535,8.4906438561827,11.02841714952161,0,0,0,1,0,0,0,0
4.5,15.0,24.0,164.0,19.99,90.0,4.5,9.126197603863755,7.370860166536716,9.993191135617908,11.557583293264585,1,0,0,0,0,0,0,0
4.6,20.0,49.0,526.0,16.99,87.0,4.6,9.633055833490875,8.091933455979893,9.917932716967623,11.559303197756124,0,0,0,0,0,1,0,0
4.7,16.0,40.0,339.0,20.99,89.0,4.5,8.88391747120797,6.1779441140506,8.065579427282092,9.823144799853589,0,0,0,0,0,0,1,0
4.4,15.0,44.0,252.0,28.99,58.0,4.4,9.586788531013854,8.246433786160365,8.246433786160365,9.595126468875947,0,0,0,0,0,0,1,0
4.2,20.0,107.0,593.0,17.99,76.0,4.3,7.417580402414544,5.605802066295998,6.866933284461882,9.835155177159303,0,0,0,0,0,0,1,0
4.4,19.0,74.0,412.0,19.99,69.0,4.4,11.40399190692562,9.681718056775063,11.63142824155096,13.22930743859185,0,0,0,1,0,0,0,0
4.5,20.0,120.0,540.0,20.99,83.0,4.5,9.378478484253662,7.351158226430694,10.313840694717069,11.570590417164627,1,0,0,0,0,0,0,0
4.6,20.0,19.0,92.0,16.99,49.0,4.6,11.219574018612523,9.791829470993246,11.407664944312735,12.563236469947368,0,0,0,1,0,0,0,0
4.5,18.0,38.0,280.0,17.99,90.0,4.5,9.389991700214258,7.735870319952567,8.15478757276852,9.575885856083103,0,0,0,0,0,0,1,0
4.5,20.0,21.0,150.0,16.990340000000003,81.0,4.4,7.866338923046544,6.486160788944089,6.829793737512425,8.116417072794205,1,0,0,0,0,0,0,0
4.6,20.0,23.0,379.0,17.99,49.0,4.4,9.57491403870827,7.806696372521179,11.291143486295152,12.510715074556755,0,0,0,0,0,0,1,0
4.1,20.0,107.0,557.0,19.99,88.0,4.1,7.9420068084898565,5.924255797414532,5.924255797414532,7.9420068084898565,0,0,0,0,0,0,0,1
4.3,20.0,103.0,548.0,21.99,85.0,4.3,7.334981878871814,6.257667587882639,7.984803389734406,10.53985271899709,1,0,0,0,0,0,0,0
4.3,16.0,64.0,236.0,16.99,90.0,4.2,9.450616322030694,7.595889917718538,8.325548307161398,10.560722540746825,1,0,0,0,0,0,0,0
4.3,20.0,205.0,865.0,20.99,89.0,4.3,9.062652099076578,7.684783943522785,7.830822995135316,9.323490469908839,1,0,0,0,0,0,0,0
4.6,18.0,38.0,378.0,16.99,88.0,4.7,10.036750159040897,7.945909598613133,12.01776520905142,13.239838810200247,1,0,0,0,0,0,0,0
4.1,20.0,24.0,70.0,19.991270000000004,88.0,4.2,7.716015266642587,5.8944028342648505,8.924523226133914,11.105363159279738,0,0,0,1,0,0,0,0
3.9,20.0,206.0,962.0,16.99,88.0,4.2,8.25088114470065,6.133398042996649,8.491670234185152,11.236381136928904,1,0,0,0,0,0,0,0
4.7,20.0,72.0,1105.0,16.99,67.0,4.4,8.435766192720509,6.70808408385307,7.4999765409521215,9.563388747859216,0,0,1,0,0,0,0,0
4.5,20.0,96.0,729.0,23.992510000000003,87.0,4.4,9.268514936027255,7.48324441607385,9.18204377282107,10.60549536152827,0,0,1,0,0,0,0,0
4.6,18.0,28.0,38.0,16.99,88.0,4.5,9.543091407795542,7.572502985020384,7.720461694599722,10.044639832292011,0,0,0,0,0,0,1,0
4.6,20.0,244.0,771.0,17.99,91.0,4.5,11.353448961420955,9.810055607743575,12.735070155892505,13.965734108130775,1,0,0,0,0,0,0,0
4.6,20.0,104.0,612.0,21.99189,88.0,4.6,10.982390209583826,9.509926311430787,9.571783927990017,11.030460514973196,0,0,1,0,0,0,0,0
4.3,20.0,36.0,509.0,19.99,79.0,4.3,9.873182972271273,8.503297086224126,8.613048677059759,10.299036995856916,0,0,0,0,1,0,0,0
4.6,19.0,40.0,381.0,17.99,89.0,4.4,8.627660644442209,6.222576268071369,7.094234845924755,8.963160242833732,0,1,0,0,0,0,0,0
4.3,20.0,291.0,1867.0,16.99,73.0,4.3,9.438829609615144,7.784473235736469,7.784473235736469,9.450852217451484,0,0,0,1,0,0,0,0
4.4,20.0,130.0,970.0,16.99,89.0,4.5,8.281977058867758,6.672032945461067,10.739933890404625,11.77657352040995,0,0,0,1,0,0,0,0
4.4,18.0,49.0,194.0,21.99,89.0,4.3,10.802815221731821,9.298442820197728,9.774460286799892,12.228582389590743,0,0,1,0,0,0,0,0
4.2,18.0,162.0,1211.0,23.99,43.0,4.4,8.943767262734637,6.875232087276577,9.368113055848724,10.76259398788244,0,0,0,0,0,0,1,0
4.5,20.0,39.0,265.0,16.99,89.0,4.4,8.08271113423758,6.733401891837359,9.775654181026242,11.515980792699235,0,0,0,1,0,0,0,0
4.5,20.0,260.0,721.0,16.99,83.0,4.5,9.841505760180247,8.224163512637862,11.480815411051994,13.388667562489015,0,0,0,1,0,0,0,0
4.2,19.0,147.0,1092.0,20.99,83.0,4.3,9.386560016578668,7.430707082545968,7.859026979751538,10.413973118489015,0,0,1,0,0,0,0,0
4.7,19.0,54.0,166.0,20.99,55.0,4.7,11.819939465721502,10.60564402725366,10.949366914552034,12.084594039658297,0,0,0,0,0,0,1,0
4.5,20.0,407.0,2572.0,19.99,88.0,4.5,10.521776479551647,9.077037524661762,11.450847913162018,13.433947017945947,0,0,1,0,0,0,0,0
4.3,20.0,101.0,499.0,19.99,89.0,4.2,9.078635880978755,7.302496423727326,8.704668113450987,10.681733866245636,0,0,0,1,0,0,0,0
4.8,19.0,44.0,260.0,16.99,89.0,4.8,6.329720905522696,5.337538079701318,5.337538079701318,6.329720905522696,0,0,0,0,0,0,1,0
4.6,20.0,54.0,376.0,16.99,91.0,4.6,10.157354276493178,8.4096079807363,11.521191209387261,12.910379821044168,0,0,1,0,0,0,0,0
4.1,17.0,61.0,556.0,16.99,88.0,4.1,7.652070746116482,5.480638923341991,10.77312683156647,13.348561458887758,0,0,0,1,0,0,0,0
4.5,19.0,60.0,433.0,19.99,71.0,4.5,11.500417566327018,9.35668926831132,12.449853769594224,13.431355763551156,0,0,0,1,0,0,0,0
4.6,20.0,179.0,1257.0,17.99,86.0,4.7,8.698347400458186,6.285998094508865,9.546812608597396,11.07477702836835,0,0,1,0,0,0,0,0
4.3,18.0,74.0,222.0,16.99,51.0,4.6,9.351318965235755,6.950814768442584,11.221850978115445,13.157720868685383,0,0,0,1,0,0,0,0
4.5,20.0,196.0,1481.0,21.99189,77.0,4.5,7.620705086838262,6.037870919922137,6.037870919922137,7.620705086838262,0,0,1,0,0,0,0,0
4.3,20.0,78.0,367.0,23.99,88.0,4.3,8.517992871586802,7.1808311990445555,7.723120092266331,8.796792687674662,0,0,0,0,0,0,0,1
4.7,20.0,189.0,1607.0,34.99,77.0,4.5,8.592115117933497,6.86484777797086,7.9294865233142895,10.593730519948684,0,1,0,0,0,0,0,0
4.3,17.0,53.0,689.0,36.99,32.0,4.3,10.41406314504691,9.184919994629272,9.215526898663482,10.45855013319517,0,0,0,1,0,0,0,0
4.5,18.0,10.0,102.0,19.99,81.0,4.5,9.90353755128617,7.983440063006542,8.604654467186231,10.3407419831337,1,0,0,0,0,0,0,0
4.5,17.0,307.0,1335.0,21.99,92.0,4.4,8.756210091886738,6.97166860472579,9.76388059814971,10.83168709223442,0,1,0,0,0,0,0,0
3.9,20.0,84.0,231.0,19.99,85.0,4.0,7.989560449333865,6.244166900663736,6.9363427358340495,8.46884293047519,1,0,0,0,0,0,0,0
4.7,17.0,10.0,100.0,19.99,73.0,4.7,10.713039040966176,9.009080614161977,9.785210644945074,11.056256532156192,0,0,0,0,0,0,1,0
3.7,20.0,30.0,648.0,16.99,89.0,4.6,6.532334292222349,4.356708826689592,11.51483364323953,12.657154634296857,0,0,0,1,0,0,0,0
4.5,20.0,331.0,854.0,21.99,85.0,4.3,8.185907481482324,6.455198563340122,6.710523109452428,8.724857555881988,0,0,0,0,1,0,0,0
4.3,19.0,91.0,438.0,23.99,89.0,4.3,6.873163834212518,5.594711379601839,5.594711379601839,6.873163834212518,1,0,0,0,0,0,0,0
4.2,20.0,242.0,1421.0,21.99,83.0,4.6,8.00469951054955,6.295266001439646,8.8771028978649,11.367194241835717,0,0,0,1,0,0,0,0
